CountyName,TownName
Sullivan,Acworth
Carroll,Albany
Grafton,Alexandria
Merrimack,Allenstown
Cheshire,Alstead
Belknap,Alton
Hillsborough,Amherst
Merrimack,Andover
Hillsborough,Antrim
Grafton,Ashland
Rockingham,Atkinson
Coos,Atkinson & Gilmanton
Rockingham,Auburn
Belknap,Barnstead
Strafford,Barrington
Carroll,Bartlett
Grafton,Bath
Coos,Bean's Grant
Coos,Bean's Purchase
Hillsborough,Bedford
Belknap,Belmont
Hillsborough,Bennington
Grafton,Benton
Coos,Berlin
Grafton,Bethlehem
Merrimack,Boscawen
Merrimack,Bow
Merrimack,Bradford
Rockingham,Brentwood
Grafton,Bridgewater
Grafton,Bristol
Carroll,Brookfield
Hillsborough,Brookline
Coos,Cambridge
Grafton,Campton
Grafton,Canaan
Rockingham,Candia
Merrimack,Canterbury
Coos,Carroll
Belknap,Center Harbor
Coos,Chandler's Purchase
Sullivan,Charlestown
Carroll,Chatham
Rockingham,Chester
Cheshire,Chesterfield
Merrimack,Chichester
Sullivan,Claremont
Coos,Clarksville
Coos,Colebrook
Coos,Columbia
Merrimack,Concord
Carroll,Conway
Sullivan,Cornish
Coos,Crawford's Purchase
Sullivan,Croydon
Coos,Cutt's Grant
Coos,Dalton
Merrimack,Danbury
Rockingham,Danville
Rockingham,Deerfield
Hillsborough,Deering
Rockingham,Derry
Coos,Dix's Grant
Coos,Dixville
Grafton,Dorchester
Strafford,Dover
Cheshire,Dublin
Coos,Dummer
Merrimack,Dunbarton
Strafford,Durham
Rockingham,East Kingston
Grafton,Easton
Carroll,Eaton
Carroll,Effingham
Grafton,Ellsworth
Grafton,Enfield
Rockingham,Epping
Merrimack,Epsom
Coos,Erving's Grant
Coos,Errol
Rockingham,Exeter
Strafford,Farmington
Cheshire,Fitzwilliam
Hillsborough,Francestown
Grafton,Franconia
Merrimack,Franklin
Carroll,Freedom
Rockingham,Fremont
Belknap,Gilford
Belknap,Gilmanton
Cheshire,Gilsum
Hillsborough,Goffstown
Coos,Gorham
Sullivan,Goshen
Grafton,Grafton
Sullivan,Grantham
Hillsborough,Greenfield
Rockingham,Greenland
Coos,Green's Grant
Hillsborough,Greenville
Grafton,Groton
Coos,Hadley's Purchase
Carroll,Hale's Location
Rockingham,Hampstead
Rockingham,Hampton
Rockingham,Hampton Falls
Hillsborough,Hancock
Grafton,Hanover
Cheshire,Harrisville
Carroll,Hart's Location
Grafton,Haverhill
Grafton,Hebron
Merrimack,Henniker
Merrimack,Hill
Hillsborough,Hillsborough
Cheshire,Hinsdale
Grafton,Holderness
Hillsborough,Hollis
Merrimack,Hooksett
Merrimack,Hopkinton
Hillsborough,Hudson
Carroll,Jackson
Cheshire,Jaffrey
Coos,Jefferson
Cheshire,Keene
Rockingham,Kensington
Coos,Kilkenny
Rockingham,Kingston
Belknap,Laconia
Coos,Lancaster
Grafton,Landaff
Sullivan,Langdon
Grafton,Lebanon
Strafford,Lee
Sullivan,Lempster
Grafton,Lincoln
Grafton,Lisbon
Hillsborough,Litchfield
Grafton,Littleton
Grafton,Livermore
Rockingham,Londonderry
Merrimack,Loudon
Coos,Low & Burbank's Grant
Grafton,Lyman
Grafton,Lyme
Hillsborough,Lyndeborough
Strafford,Madbury
Carroll,Madison
Hillsborough,Manchester
Cheshire,Marlborough
Cheshire,Marlow
Coos,Martin's Location
Hillsborough,Mason
Belknap,Meredith
Hillsborough,Merrimack
Strafford,Middleton
Coos,Milan
Hillsborough,Milford
Coos,Millsfield
Strafford,Milton
Grafton,Monroe
Hillsborough,Mont Vernon
Carroll,Moultonborough
Hillsborough,Nashua
Cheshire,Nelson
Hillsborough,New Boston
Rockingham,New Castle
Strafford,New Durham
Belknap,New Hampton
Hillsborough,New Ipswich
Merrimack,New London
Merrimack,Newbury
Rockingham,Newfields
Rockingham,Newington
Rockingham,Newmarket
Sullivan,Newport
Rockingham,Newton
Rockingham,North Hampton
Merrimack,Northfield
Coos,Northumberland
Rockingham,Northwood
Rockingham,Nottingham
Coos,Odell
Grafton,Orange
Grafton,Orford
Carroll,Ossipee
Hillsborough,Pelham
Merrimack,Pembroke
Hillsborough,Peterborough
Grafton,Piermont
Coos,Pinkham's Grant
Coos,Pittsburg
Merrimack,Pittsfield
Sullivan,Plainfield
Rockingham,Plaistow
Grafton,Plymouth
Rockingham,Portsmouth
Coos,Randolph
Rockingham,Raymond
Cheshire,Richmond
Cheshire,Rindge
Strafford,Rochester
Strafford,Rollinsford
Cheshire,Roxbury
Grafton,Rumney
Rockingham,Rye
Rockingham,Salem
Merrimack,Salisbury
Belknap,Sanbornton
Rockingham,Sandown
Carroll,Sandwich
Coos,Sargent's Purchase
Rockingham,Seabrook
Coos,Second College Grant
Hillsborough,Sharon
Coos,Shelburne
Strafford,Somersworth
Rockingham,South Hampton
Sullivan,Springfield
Coos,Stark
Coos,Stewartstown
Cheshire,Stoddard
Strafford,Strafford
Coos,Stratford
Rockingham,Stratham
Coos,Success
Grafton,Sugar Hill
Cheshire,Sullivan
Sullivan,Sunapee
Cheshire,Surry
Merrimack,Sutton
Cheshire,Swanzey
Carroll,Tamworth
Hillsborough,Temple
Coos,Thomson & Meserve's Purchase
Grafton,Thornton
Belknap,Tilton
Cheshire,Troy
Carroll,Tuftonboro
Sullivan,Unity
Carroll,Wakefield
Cheshire,Walpole
Merrimack,Warner
Grafton,Warren
Sullivan,Washington
Grafton,Waterville Valley
Hillsborough,Weare
Merrimack,Webster
Grafton,Wentworth
Coos,Wentworth's Location
Cheshire,Westmoreland
Coos,Whitefield
Merrimack,Wilmot
Hillsborough,Wilton
Cheshire,Winchester
Rockingham,Windham
Hillsborough,Windsor
Carroll,Wolfeboro
Grafton,Woodstock